packet size / bytes,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM1_fct,dAQM2_fct,dAQM3_fct,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM1_th,dAQM2_th,dAQM3_th,Red_sj,Pie_sj,CoDel_sj,FqCoDel_sj,Cobalt_sj,dAQM1_sj,dAQM2_sj,dAQM3_sj,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM1_ql,dAQM2_ql,dAQM3_ql,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM1_delay,dAQM2_delay,dAQM3_delay,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM1_plr,dAQM2_plr,dAQM3_plr
50,2.8094233917,2.8163744193,2.8519056413,2.8465916119,1.3358747807,2.9180428697,2.8728424275,2.7390824642,109.875359633,120.9550155963,113.1007330275,132.4665577982,199.1709449541,146.400412844,124.5524183486,132.4965779817,2818.3879644404,2756.7654123299,3402.5417956656,3248.0642748202,243.0795582601,1250.9015029776,2511.0470674756,653.912823112,1039.8749966164,825.4292368437,900.3574399538,911.1210807755,595.2116890707,854.2791972988,781.3137058462,44.9156276954,486.6942486239,523.8666256881,506.3669651376,541.5029807339,141.8117165138,433.1551798165,485.955812844,281.0652862385,0.5659147386,0.5754437555,0.3418986525,0.3634749801,0.6528786108,0.2176231268,0.419277202,0.7426024646
100,2.8116817642,2.8107581165,2.8533822716,2.8498969202,1.6975321881,2.8425769587,2.861528345,2.8126462991,134.9040733945,149.7135853211,151.8788348624,154.130266055,241.1117247706,174.7717155963,172.7184495413,189.2117798165,2734.9011796127,2486.6002519421,2994.4730485747,2965.9174086862,262.9635295557,1085.1420366044,2329.7588116818,412.1704649043,982.353813269,351.529283574,812.3528363133,818.5941916696,245.854026772,644.5816266667,388.671118986,17.0081519305,479.2724027523,496.7430651376,449.8266275229,462.2628733945,139.8714174312,376.1466559633,347.8307229358,210.8626908257,0.3920831547,0.478863143,0.1643636123,0.1862671865,0.4822752176,0.0257791215,0.3218093071,0.6351805667
200,2.8120103037,2.8090066239,2.8444249239,2.8591681972,2.2030951073,2.8323633284,2.8257407936,2.7271498028,178.497266055,188.1079357798,224.6501192661,237.1499266055,264.7629357798,248.2654036697,243.4768165138,254.2290183486,2534.1872013297,1972.9282627485,2085.4079219988,2207.7808433108,225.5266552021,557.3819822046,1603.3549054374,129.0326409496,887.3882141375,139.5135447036,567.7746733064,544.2359665586,121.9814542108,303.2151132001,232.0898268398,10.8469484458,466.8249834862,402.0132036697,407.7550045872,387.0960340367,190.739046789,258.2547229358,324.66926,229.6794352294,0.2000998479,0.4398983726,0.1473553533,0.1364528579,0.4116790654,0.002806543,0.2722322753,0.5150595567
400,2.8489663505,2.8089748312,2.8426398147,2.8668322514,2.2336459468,2.8395066697,2.8338984431,2.8185677,265.0201834862,262.1846972477,273.4210825688,284.7970183486,320.5381009174,283.9324587156,287.9009357798,309.9039541284,2381.2001920307,1227.8760921366,1446.1808158765,1290.3414810791,224.6081258191,146.2588277469,1170.4850021124,73.7588832487,739.7537966657,49.29893679,239.904000373,205.12656559,54.132595326,37.3602894441,67.6477701664,10.2225126003,405.063053945,331.2715690826,335.4652463303,337.6897177064,166.1756107339,202.2090322936,268.8422516514,229.4449782569,0.0354957986,0.3604408015,0.1479351257,0.1389785183,0.2833596503,0.00268597,0.2536138367,0.4168837162
600,2.8523399367,2.8149898266,2.8277343303,2.8324066339,2.637347,2.8334490275,2.8517861294,2.8018186064,313.2693669725,319.0815321101,324.5703944954,315.1274036697,343.2888256881,328.023266055,313.1578348624,332.5458073394,2069.4488549618,849.571624714,958.8635729934,952.7646730017,211.7041120381,70.6126266563,616.0149484536,89.8371501272,491.229522792,34.4162920905,106.0066923653,122.474145035,37.2394885822,19.3646119687,32.766969697,9.6502556334,396.0029616514,300.7585174312,307.9288459633,306.4700816514,177.8363821101,219.7097274312,232.8515126606,229.0346869725,0.0018159415,0.3442244644,0.1574588829,0.1549058361,0.2756915888,0.0036661,0.2098910333,0.3437731899
800,2.810576656,2.8396141872,2.8144246734,2.8235495266,2.7702848294,2.8456361119,2.8414011394,2.8202154514,346.6728899083,363.0016513761,361.0599724771,371.045733945,375.0186422018,363.8020458716,368.0186422018,381.4644954128,2087.9338092148,655.9123134328,707.0163758389,642.5033690052,224.5039370079,62.3047185901,351.3005586592,87.8857938719,341.509651829,26.2025337015,65.4379120879,74.9714143811,29.4911578947,13.0736200216,19.4525162338,9.6902448504,285.0538988073,269.2450757798,251.4960265138,290.9884784404,162.4735453211,190.1370893578,212.4936779817,230.1862284404,0.0001896628,0.2654873469,0.1355952991,0.1362934259,0.2352690264,0.0025863752,0.1721744843,0.2742840924
1000,2.8510432826,2.8344786954,2.7916303468,2.8196874477,2.7023419431,2.8326903468,2.8706259119,2.8391818752,397.2909908257,395.792559633,404.4869724771,403.8774770642,410.6214495413,394.865559633,406.0006880734,416.2275229358,1770.6310919186,434.4492677824,441.5979808439,448.2262465889,218.558692422,98.2049261084,228.3405797101,49.0929577465,220.0386502757,19.0831295844,42.2459713807,43.2775380711,25.0950831526,13.9027001227,19.3149485524,9.6757618004,283.6076311927,254.3315854128,264.357969633,262.1010356881,181.9493085321,202.2482548624,208.5992669725,211.1797990826,0,0.2090566348,0.1180018322,0.1178867384,0.1634134496,0.0051243022,0.0097380646,0.1901074375
1200,2.8145893413,2.8399151606,2.8154418275,2.8424179404,2.7983688092,2.8395903257,2.8464662505,2.8317458835,417.1512568807,419.6849724771,428.9705963303,433.8543853211,435.9509357798,426.1203577982,415.9934770642,424.1768073394,1657.972486413,388.1193846154,326.5901844326,390.2624867163,200.6426310236,159.1431997259,84.9628514056,39.775862069,157.2409035273,17.2562836625,28.5631389692,34.6885640026,22.0808738426,15.6878873239,11.8787906977,9.5540621266,255.306227156,231.9625529358,247.6276746789,233.3823624771,199.2632404587,185.6796054128,186.2664705505,219.7761852294,0,0.1684394036,0.1043482141,0.108826875,0.1491811216,0.011576486,0.100657784,0.1620296757
1400,2.854577489,2.7991108193,2.8276724945,2.8263394615,2.8625233972,2.8430483972,2.8328123661,2.8303356688,457.5256788991,457.8767706422,458.1940550459,468.5084495413,458.3106146789,448.5052568807,457.4571009174,456.0763302752,1349.7990535129,279.8607391537,323.2477992958,298.2026098901,185.3606496862,191.931970114,65.6231422505,56.6802507837,102.2006989516,14.7276999391,23.6380764683,25.3884387209,18.9063233568,15.1751999402,10.9097626305,9.7123037975,248.9705889908,206.8072037615,200.9304654128,209.0642123853,173.8341906422,180.5621277982,180.0154573394,191.9754509174,0,0.1356632128,0.0812755056,0.0915484332,0.1284345336,0.0111637821,0.064067078,0.1167627877
1750,2.8139101661,2.8467871294,2.8385791523,2.8287764422,2.8169688266,2.8414716202,2.8165403404,2.828614744,363.6707889908,377.345146789,375.593853211,372.9260183486,383.7416330275,369.1834954128,386.876266055,383.7602110092,1801.6166763173,516.3079763663,560.8707935189,620.1659654044,161.1141210375,349.1817162086,232.5354706685,38.5333333333,282.7673039801,21.928885935,59.0221485981,57.5229888672,25.5599468615,24.1400651466,17.148812789,9.2898648649,287.1658090826,263.2021436697,276.2772712844,269.0957812844,210.8151645872,210.9237455963,213.6218056881,204.973833211,0.0001018009,0.2391579193,0.1383679278,0.1298067582,0.2329322158,0.0119021667,0.1623645462,0.2292254557
